,index,Word,Count
0,61,the,2355
1,57,i,2293
2,51,and,2282
3,16,to,1789
4,4,of,1352
5,20,a,1345
6,117,you,1252
7,99,my,1242
8,88,that,1111
9,74,in,969
10,96,is,882
11,78,not,859
12,46,s,779
13,203,me,774
14,66,it,738
15,266,with,680
16,97,this,677
17,454,thou,652
18,84,for,621
19,168,be,607
20,81,he,573
21,108,have,540
22,72,but,539
23,98,your,535
24,280,what,517
25,101,his,510
26,128,her,500
27,222,d,496
28,112,him,482
29,562,o,458
30,174,as,450
31,70,so,448
32,230,will,430
33,133,do,427
34,419,thy,407
35,123,she,362
36,4013,iago,361
37,148,no,359
38,317,thee,354
39,4001,othello,350
40,5801,romeo,340
41,403,if,334
42,32,by,317
43,0,king,314
44,35,on,309
45,182,shall,307
46,86,are,305
47,211,all,303
48,179,love,283
49,378,come,269
50,73,now,267
51,163,good,261
52,1,lear,257
53,580,ll,257
54,214,from,257
55,4011,cassio,254
56,249,here,241
57,113,am,238
58,4020,desdemona,230
59,103,sir,229
60,199,our,226
61,59,enter,224
62,422,let,222
63,283,or,221
64,63,more,221
65,100,lord,219
66,23,man,218
67,197,we,217
68,450,well,213
69,162,there,211
70,386,how,211
71,5802,juliet,211
72,106,at,202
73,404,they,199
74,672,would,199
75,885,go,197
76,170,know,196
77,79,which,187
78,104,hath,186
79,185,out,185
80,354,then,185
81,406,when,185
82,342,an,184
83,430,night,181
84,13,gloucester,179
85,207,tis,178
86,12,kent,176
87,159,was,170
88,147,yet,169
89,143,some,166
90,318,lady,164
91,259,say,164
92,1214,one,163
93,65,than,162
94,246,their,160
95,236,may,160
96,669,such,156
97,264,where,154
98,5810,capulet,154
99,401,why,152
100,3336,nurse,150
101,146,who,149
102,167,must,148
103,92,make,146
104,572,upon,145
105,217,them,143
106,690,should,141
107,719,t,141
108,26,fool,139
109,4021,emilia,138
110,14,edgar,136
111,409,take,135
112,556,see,135
113,202,give,134
114,67,did,133
115,271,speak,132
116,17,edmund,131
117,83,most,126
118,338,too,123
119,668,up,122
120,295,father,121
121,417,like,118
122,62,had,118
123,524,think,116
124,717,art,116
125,71,us,115
126,305,these,114
127,636,exit,112
128,225,death,111
129,91,can,111
130,331,heart,111
131,385,nor,110
132,919,were,107
133,4014,roderigo,105
134,43,regan,105
135,290,much,101
136,251,tell,101
137,5815,friar,100
138,1022,heaven,99
139,39,first,98
140,826,look,97
141,33,gentleman,96
142,22,old,95
143,692,time,92
144,334,very,92
145,525,st,89
146,415,never,89
147,195,exeunt,89
148,5811,mercutio,89
149,420,ay,88
150,188,away,87
151,189,again,86
152,299,poor,85
153,29,goneril,84
154,56,act,84
155,260,doth,82
156,5812,benvolio,81
157,5814,tybalt,79
158,3243,dead,79
159,786,eyes,78
160,5816,laurence,78
161,583,hear,78
162,408,hand,77
163,10,albany,77
164,9,cornwall,77
165,161,fair,75
166,285,life,75
167,467,call,75
168,377,nothing,74
169,115,cannot,74
170,607,day,74
171,1289,men,73
172,337,comes,73
173,917,put,72
174,105,been,72
175,842,pray,72
176,581,dost,72
177,330,true,71
178,1002,own,71
179,1054,mine,71
180,586,hast,71
181,1403,sweet,71
182,293,er,71
183,873,madam,70
184,1015,any,70
185,55,scene,70
186,157,world,69
187,323,wife,68
188,7,duke,68
189,782,gone,66
190,344,other,66
191,158,before,65
192,245,made,65
193,352,dear,65
194,617,thus,64
195,742,stand,64
196,36,cordelia,64
197,593,place,63
198,242,daughter,62
199,332,find,62
200,139,being,61
201,5805,paris,61
202,307,even,61
203,239,great,61
204,359,ever,61
205,265,nature,60
206,151,though,60
207,442,hold,59
208,652,within,59
209,132,bed,59
210,694,thing,58
211,4009,moor,58
212,1754,light,58
213,984,villain,57
214,872,honest,57
215,1710,house,57
216,1761,help,56
217,1357,nay,56
218,1005,down,56
219,27,oswald,56
220,121,could,56
221,469,two,55
222,181,better,55
223,40,servant,54
224,552,fear,54
225,493,name,53
226,948,till,53
227,680,way,53
228,1297,ho,52
229,176,friend,52
230,254,both,52
231,568,kill,52
232,369,whose,52
233,1279,keep,52
234,156,into,52
235,550,against,51
236,491,still,50
237,15,son,50
238,3148,soul,50
239,909,done,50
240,675,therefore,49
241,897,word,49
242,1263,stay,49
243,534,best,49
244,397,back,49
245,5807,montague,49
246,341,myself,49
247,1501,head,48
248,778,farewell,48
249,388,little,48
250,2653,die,48
251,853,letter,48
252,319,thine,48
253,3799,god,48
254,171,noble,48
255,464,hence,47
256,4003,brabantio,47
257,131,husband,47
258,2865,prince,47
259,836,bring,46
260,4002,venice,46
261,127,indeed,46
262,274,matter,46
263,594,bear,46
264,962,live,45
265,709,faith,45
266,503,part,45
267,416,marry,44
268,118,young,44
269,1445,lie,44
270,440,blood,44
271,4007,lodovico,44
272,665,leave,44
273,1212,every,44
274,460,set,43
275,395,those,43
276,60,thought,43
277,119,fellow,43
278,638,re,43
279,604,turn,42
280,697,many,42
281,243,long,42
282,781,face,41
283,913,none,41
284,275,eye,41
285,41,second,41
286,296,found,40
287,516,fall,40
288,1310,general,40
289,523,wilt,40
290,508,master,40
291,1374,another,39
292,819,off,39
293,1769,mistress,39
294,626,said,39
295,1298,hither,39
296,250,answer,38
297,456,peace,38
298,374,draw,38
299,297,makes,38
300,756,fortune,38
301,286,grace,37
302,1313,ha,37
303,816,full,37
304,790,use,37
305,1493,else,37
306,573,foul,37
307,866,brother,36
308,1132,about,36
309,1613,tears,36
310,153,came,36
311,1265,get,36
312,1026,after,36
313,4015,montano,36
314,509,follow,36
315,130,ere,35
316,522,mad,35
317,327,sister,35
318,566,sword,35
319,152,knave,35
320,777,bid,35
321,252,since,35
322,793,alas,35
323,711,without,35
324,1058,seen,34
325,2682,lies,34
326,1491,might,33
327,1627,cause,33
328,723,murder,33
329,355,sure,33
330,1370,gave,32
331,870,mind,32
332,2268,cry,32
333,258,state,32
334,911,news,32
335,927,itself,32
336,6,france,32
337,2090,morrow,32
338,291,child,32
339,1097,lay,32
340,540,does,32
341,44,daughters,32
342,710,reason,32
343,1568,show,31
344,1205,wit,31
345,484,course,31
346,666,pardon,31
347,1475,forth,31
348,325,same,31
349,5527,peter,31
350,1400,prithee,30
351,916,seek,30
352,1023,earth,30
353,620,lives,30
354,1291,woman,30
355,5183,handkerchief,30
356,228,hour,30
357,4012,lieutenant,30
358,749,yourself,30
359,1837,send,30
360,213,business,30
361,1438,weep,30
362,1207,iii,30
363,732,lost,30
364,1728,mean,29
365,289,honour,29
366,976,heard,29
367,1723,things,29
368,462,kind,29
369,2114,once,29
370,808,shame,29
371,851,ii,29
372,1851,ill,29
373,461,rest,29
374,1010,meet,29
375,823,himself,29
376,303,aside,28
377,1380,fire,28
378,4022,bianca,28
379,3735,gentlemen,28
380,350,alone,28
381,3564,lips,28
382,676,beseech,28
383,1172,wrong,28
384,4006,gratiano,28
385,3700,watch,28
386,4018,cyprus,28
387,2510,talk,28
388,1569,sea,28
389,433,whom,27
390,560,gods,27
391,2442,alack,27
392,3596,gentle,27
393,2421,grief,27
394,517,rather,27
395,476,power,27
396,1524,false,27
397,1369,boy,27
398,394,return,27
399,960,sleep,27
400,226,less,27
401,1032,means,27
402,1296,shalt,27
403,348,sense,26
404,1600,body,26
405,1277,enough,26
406,298,breath,26
407,2289,patience,26
408,720,known,26
409,3098,slain,26
410,3237,devil,26
411,1787,home,25
412,1327,dog,25
413,529,bound,25
414,120,mother,25
415,1188,told,25
416,1976,holy,25
417,466,grave,25
418,272,words,25
419,427,sun,25
420,294,loved,25
421,1301,slave,25
422,1035,late,25
423,1426,ne,25
424,662,hate,25
425,635,new,25
426,412,half,25
427,3069,hands,25
428,276,sight,24
429,187,years,24
430,1749,haste,24
431,154,something,24
432,3138,prove,24
433,1338,thank,24
434,1141,ancient,24
435,2118,happy,24
436,1838,near,24
437,4025,musician,24
438,3149,above,24
439,2124,free,24
440,544,sound,24
441,1384,mark,24
442,4168,married,24
443,1740,work,24
444,1250,iv,24
445,2396,high,24
446,52,attendants,24
447,2314,black,24
448,764,cold,24
449,685,strange,23
450,2583,bloody,23
451,1155,saw,23
452,2303,ask,23
453,1024,wind,23
454,1879,welcome,23
455,2207,poison,23
456,321,says,23
457,1567,fiend,23
458,1121,tom,23
459,357,tongue,23
460,1758,arm,23
